11
0	224	371	636	410	1058	1337	1773	1102	1784	1475
224	0	441	582	514	990	1270	1706	206	1582	1268
371	441	0	357	527	853	1133	1569	1304	1936	1413
636	582	357	0	869	416	695	1131	902	1534	987
410	514	527	869	0	1357	1636	2072	1396	2086	1926
1058	990	853	416	1357	0	306	742	1296	1675	978
1337	1270	1133	695	1636	306	0	462	1575	1978	1282
1773	1706	1569	1131	2072	742	462	0	2011	2133	1428
1102	206	1304	902	1396	1296	1575	2011	0	897	840
1784	1582	1936	1534	2086	1675	1978	2133	897	0	888
1475	1268	1413	987	1926	978	1282	1428	840	888	0
